gene	PHC
GB42949	0.88
GB45518	0.32
GB55366	0.57
GB40901	0.65
GB54325	0.1
GB41094,GB41094	0.17
GB47748	0.42
GB45140	0.27
GB46036	0.48
GB45926	0.99
GB48847	0.52
GB46431	0.7
GB50521,GB50521	0.43
GB41874	0.76
GB44687	0.03
GB50491	0.77
GB50911	0.39
GB46165	0.34
GB44114,GB47820	0.615
GB41825	0.53
GB45777,GB48385	0.47
GB50640	0.65
GB51638	0.36
GB49534,GB49534	0.23
GB44516	0.58
GB44661,GB44455	0.225
GB47488,GB46971	0.225
GB47334	0.45
GB52651	0.72
GB44533	0.53
GB47876	0.23
GB50261	0.38
GB55074	0.22
GB49478	0.28
GB46746	0.42
GB53846	0.33
GB48386	0.38
GB44082	0.81
GB45273	0.24
GB45278	0.16
GB40287	0.1
GB44223	0.26
GB49870	0.18
GB50303	0.38
GB51264	0.2
GB48809	0.33
GB46436	0.67
GB47440	0.61
GB49309	0.26
GB47018,GB47018,GB47018	0.36
GB43000,GB43000	0.42
GB45072	0.27
GB50105	0.26
GB41136	0.44
GB54083	0.66
GB50730	0.37
GB49050	0.51
GB45713,GB45708	0.435
GB54332	0.42
GB52503	0.68
GB45363	0.4
GB55985	0.25
GB47081	0.58
GB44742	0.5
GB42224	0.39
GB43171	0.71
GB46684	0.64
GB41876	0.51
GB41864	0.15
GB43149	0.71
GB50237	0.18
GB49089	0.72
GB52676	0.13
GB40282	0.16
GB51015	0.31
GB44347	0.59
GB40788	0.09
GB48938	0.44
GB47549	0.36
GB51912	0.5
GB52619,GB43636	0.555
GB43475	0.13
GB44690	0.75
GB42436	0.19
GB51967	0.21
GB46621	0.61
GB40563,GB55130	0.495
GB44031	0.63
GB51237	0.15
GB48889,GB48889	0.21
GB48786	0.18
GB44307	0.38
GB55757	0.24
GB50245	0.3
GB54627	0.83
GB45463,GB45463,GB54870	0.18
GB46973	0.23
GB50960	0.5
GB49528	0.63
GB54622	0.11
GB40580	0.5
GB49906	0.13
GB54124	0.32
GB54493	0.32
GB49037	0.69
GB55896	0.33
GB54522	0.42
GB50586	0.4
GB45067	0.17
GB51431	0.08
GB54742	0.5
GB47102	0.52
GB48360	0.83
GB49579	0.31
GB47230	0.43
GB54436	0.16
GB44387,GB44387	0.3
GB44295	0.36
GB45568	0.62
GB43122	0.51
GB51828	0.32
GB45349	0.79
GB45343	0.56
GB45052	0.24
GB41156	0.2
GB50244	0.18
GB44353	0.62
GB46627	0.37
GB52247	0.6
GB54428	0.38
GB45126	0.5
GB43561	0.34
GB48055	0.27
GB49896	0.62
GB41902	0.56
GB43052	0.29
GB44176	0.76
GB42854	0.35
GB42063	0.48
GB47106	0.52
GB42559	0.44
GB54242,GB54242	0.62
GB48160	0.4
GB50178	0.3
GB48370	0.58
GB52948	0.39
GB49590	0.47
GB55359	0.62
GB40217	0.45
GB52158	0.31
GB47194	0.26
GB44570,GB45484	0.805
GB41487	0.56
GB40863	0.52
GB44592	0.31
GB45297	0.51
GB52797	0.64
GB55056	0.29
GB45031	0.37
GB42501	0.6
GB44900	0.52
GB50537	0.38
GB50777	0.38
GB52557	0.49
GB42783	0.12
GB55333	0.39
GB42211	0.82
GB51525	0.41
GB46290	0.08
GB54809	0.45
GB51836	0.46
GB53949	0.48
GB55704	0.42
GB46908	0.49
GB48266	0.02
GB53376	0.46
GB41819	0.15
GB48596	0.59
GB49505	0.47
GB44199,GB44199	0.29
GB55387	0.36
GB42892	0.16
GB47962	0.26
GB55765	0.5
GB51749	0.19
GB53237	0.42
GB45457	0.6
GB42215	0.46
GB54784	0.34
GB50157	0.36
GB45194	0.68
GB50126	0.7
GB46300	0.21
GB50069	0.43
GB53944	0.52
GB47942	0.18
GB47350	0.42
GB49190	0.52
GB52012	0.61
GB44982	0.26
GB47177	0.23
GB50493	0.64
GB45133	0.74
GB45413	0.38
GB43715	0.23
GB48125	0.02
GB54391	0.55
GB45695	0.48
GB53598	0.28
GB40944	0.09
GB47429	0.2
GB49527	0.48
GB42960	0.56
GB44315	0.58
GB45663	0.72
GB44412	0.48
GB41188	0.17
GB53323	0.14
GB50871	0.67
GB49612	0.15
GB55403	0.57
GB55274	0.1
GB44072	0.19
GB54214	0.54
GB51505	0.55
GB55940	0.37
GB40437	0.31
GB49327	0.11
GB42651	0.43
GB49494	0.96
GB46339	0.25
GB54989	0.28
GB53035	0.37
GB43366	0.28
GB54994	0.44
GB51333	0.7
GB47737	0.12
GB44682	0.51
GB51063	0.31
GB54239	0.38
GB45555	0.79
GB52978	0.56
GB41294	0.32
GB55660	0.64
GB45875	0.16
GB44611	0.81
GB44293	0.63
GB48684	0.15
GB41171	0.41
GB47503	0.26
GB47846	0.63
GB43435	0.16
GB45525,GB45524,GB44248	0.33
GB50506	0.18
GB52195	0.45
GB43637	0.67
GB51580	0.19
GB52704	0.72
GB41693	0.44
GB42487	0.56
GB46042	0.48
GB48337	0.58
GB44121	0.45
GB43113	0.47
GB50367	0.3
GB52498	0.43
GB55485	0.19
GB44099	0.35
GB50071	0.77
GB49120	0.98
GB42450	0.15
GB43162	0.43
GB46685	0.16
GB44636	0.77
GB50352	0.47
GB48746	0.02
GB43738	0.3
GB42652	0.25
GB45175	0.58
GB46523	0.64
GB46692	0.47
GB52045	0.17
GB40867,GB40947,GB40867	0.296666667
GB51354	0.27
GB42451	0.59
GB44436	0.64
GB48066,GB48782	0.29
GB46189	0.67
GB43551	0.69
GB47329	0.33
GB48678	0.33
GB46512	0.29
GB53251	0.62
GB47387	0.47
GB47423	0.26
GB51885	0.13
GB47250	0.76
GB42358	0.28
GB53654	0.66
GB49486	0.61
GB46672	0.56
GB49604	0.61
GB45872	0.34
GB45684	0.29
GB41036	0.27
GB41982	0.5
GB47222	0.53
GB43015	0.33
GB48199	0.13
GB45128	0.4
GB47471	0.29
GB49525	0.29
GB49841	0.81
GB51999	0.67
GB51738	0.23
GB44590	0.18
GB50891	0.45
GB50039	0.45
GB49909	0.29
GB50190	0.64
GB52627	0.55
GB47300	0.12
GB50802	0.53
GB54111	0.66
GB48416	0.42
GB48237	0.4
GB55489,GB55489	0.24
GB52588	0.43
GB54789	0.05
GB44163	0.34
GB41261	0.33
GB50511	0.55
GB43087	0.19
GB49966	0.2
GB43411	0.68
GB40674	0.43
GB51726	0.23
GB45923	0.4
GB55299	0.42
GB44534	0.64
GB53788	0.49
GB47076	0.62
GB50290	0.12
GB53166	0.39
GB48456	0.64
GB48075	0.3
GB40363	0.62
GB44333	0.49
GB45180	0.43
GB45425	0.24
GB40766	0.42
GB48873	0.82
GB51560	0.77
GB47413,GB47413	0.11
GB51093	0.38
GB47189	0.41
GB49701	0.65
GB50471	0.36
GB47556	0.15
GB44410	0.5
GB50015	0.3
GB41867	0.65
GB55877,GB55877	0.21
GB48692	0.4
GB43256	0.59
GB44327	0.47
GB42551	0.17
GB50031	0.53
GB55893	0.17
GB54190	0.46
GB45314	0.4
GB47260	0.79
GB55930	0.2
GB43697	0.48
GB44325	0.16
GB52047	0.92
GB54935	0.22
GB44175	0.43
GB53782	0.2
GB50281	0.18
GB40999	0.52
GB54144	0.31
GB47042	0.24
GB45778	0.28
GB47043	0.43
GB46773,GB40332	0.715
GB49169	0.25
GB45985	0.34
GB45487	0.68
GB44757	0.44
GB46972	0.5
GB45534	0.59
GB55390	0.48
GB49456	0.56
GB52929	0.27
GB55971	0.65
GB40335	0.14
GB52360	0.24
GB42534	0.09
GB42023	0.69
GB50418	0.08
GB55537	0.48
GB50748	0.45
GB40577	0.48
GB52785	0.51
GB47007	0.39
GB42945	0.55
GB41304	0.35
GB47232	0.57
GB54608	0.06
GB49330	0.33
GB42096	0.35
GB49622	0.42
GB41211	0.57
GB44526	0.41
GB53700	0.65
GB48539	0.19
GB42747	0.55
GB46640	0.31
GB41397	0.35
GB52904	0.49
GB53045,GB53043	0.325
GB49130	0.11
GB40201,GB40191,GB40184,GB40197,GB40200,GB40186,GB47122,GB40184,GB47122,GB47121,GB40194,GB40196,GB40193,GB40197,GB40183,GB40187,GB40192,GB46573,GB47122	0.054210525999999995
GB43107,GB43108	0.33
GB45495,GB40976	0.72
GB45618,GB45618	0.22
GB43549	0.34
GB50648	0.35
GB41704	0.42
GB44156	0.21
GB54145	0.24
GB43079	0.33
GB42454	0.69
GB41463,GB41464	0.23
GB48608	0.34
GB43277	0.31
GB49315	0.7
GB42020	0.77
GB50741	0.61
GB50812	0.54
GB41281	0.32
GB48469	0.47
GB48563	0.53
GB43984,GB45309	0.52
GB41212,GB53028,GB40624,GB49394	0.2475
GB48557	0.21
GB40064	0.34
GB42848	0.27
GB52427	0.22
GB52282	0.38
GB41856	0.12
GB54986	0.28
GB40076	0.53
GB40980	0.5
GB52423	0.76
GB41315	0.29
GB44285	0.85
GB49967	0.27
GB49152	0.44
GB45776,GB45776	0.22
GB51634	0.48
GB49466	0.22
GB42732	0.21
GB45733	0.26
GB51968	0.9
GB41002,GB41003	0.31
GB42313	0.2
GB52825	0.5
GB53333	0.63
GB51751	0.29
GB40592,GB53981	0.42
GB46480	0.16
GB40274	0.19
GB48677	0.55
GB46360,GB46360	0.27
GB49124	0.25
GB55619	0.45
GB46609	0.82
GB48765	0.32
GB47984	0.05
GB42223	0.47
GB50409	0.6
GB55278	0.78
GB44579	0.57
GB53520	0.46
GB51494	0.35
GB49843	0.3
GB43487	0.33
GB50957	0.23
GB52953	0.15
GB46960	0.24
GB55505	0.27
GB47635	0.27
GB51040	0.24
GB46257	0.63
GB47235	0.71
GB51119	0.27
GB54261	0.43
GB50771	0.32
GB40158	0.29
GB43502	0.3
GB44222	0.37
GB55632	0.5
GB51198	0.45
GB49559	0.65
GB40816	0.36
GB43095	0.51
GB42190	0.55
GB44567	0.22
GB54881	0.12
GB53126	0.24
GB44936	0.64
GB49852	0.19
GB47278	0.22
GB52314	0.48
GB46273	0.3
GB55389	0.48
GB53862	0.55
GB52937	0.49
GB48122	0.68
GB43836	0.38
GB40693	0.32
GB53830	0.33
GB40654	0.33
GB52211	0.66
GB41827	0.64
GB40415	0.35
GB46048	0.48
GB41872	0.48
GB45345	0.42
GB51361	0.45
GB41451	0.43
GB48457	0.68
GB44187	0.43
GB51464	0.28
GB49571	0.95
GB48526	0.19
GB41840	0.53
GB51819	0.18
GB52052	0.08
GB42817	0.47
GB42865	0.43
GB50065	0.18
GB43622	0.51
GB46322	0.3
GB50932	0.27
GB51000,GB51000	0.7
GB49349	0.62
GB42721	0.35
GB49098	0.29
GB45071	0.59
GB44828	0.67
GB40466,GB40466	0.66
GB46929	0.52
GB49946	0.35
GB45868	0.52
GB51080	0.72
GB53812	0.56
GB55448	0.4
GB52597	0.28
GB44918	0.66
GB45127	0.64
GB40388	0.59
GB54590	0.78
GB46151	0.37
GB42295	0.69
GB50299	0.54
GB50146	0.24
GB54651	0.62
GB53683	0.66
GB46452	0.5
GB53685,GB53685	0.4
GB48378	0.45
GB41037	0.13
GB42297	0.41
GB50130	0.27
GB43831	0.45
GB55348	0.35
GB51938	0.35
GB54512	0.36
GB47435	0.53
GB47073	0.26
GB45692	0.53
GB54264	0.55
GB43441	0.68
GB45131	0.59
GB53199	0.41
GB55931	0.65
GB47838	0.25
GB51725	0.54
GB46054	0.19
GB49188	0.57
GB50653	0.3
GB53062	0.14
GB46918,GB50327	0.645
GB50365	0.62
GB43245	0.1
GB47451	0.48
GB48157	0.42
GB46954	0.35
GB40359	0.55
GB49533	0.28
GB49589	0.72
GB44961	0.24
GB43172	0.58
GB51655	0.36
GB51029	0.61
GB40704	0.51
GB50955,GB48208	0.21
GB55830	0.46
GB53607	0.22
GB53380	0.16
GB43293	0.32
GB53411	0.6
GB41590	0.06
GB50228	0.33
GB48532	0.53
GB41610	0.57
GB51058	0.32
GB53582,GB53582	0.23
GB40946	0.59
GB49146	0.51
GB54268	0.43
GB53148	0.41
GB54140	0.43
GB48817	0.43
GB45429	0.41
GB52722	0.49
GB40614	0.35
GB49518	0.16
GB53092	0.57
GB45341	0.54
GB45732	0.35
GB51209	0.22
GB40578	0.46
GB43191	0.34
GB44123	0.61
GB42167	0.17
GB44656	0.93
GB43953	0.14
GB47184	0.63
GB47461	0.56
GB51302	0.16
GB51833	0.26
GB46338	0.36
GB55006	0.5
GB42268	0.2
GB45392	0.22
GB53239	0.35
GB44371	0.64
GB44184	0.37
GB53196,GB53196	0.47
GB47847	0.37
GB52893	0.3
GB40765	0.32
GB50226	0.39
GB52926	0.1
GB45833	0.2
GB53849	0.66
GB43271	0.1
GB51190	0.21
GB47502	0.68
GB46240	0.3
GB53174	0.44
GB44168	0.52
GB45275	0.45
GB50259	0.5
GB50090	0.73
GB52559	0.57
GB45955	0.22
GB45213	0.24
GB41290	0.06
GB40545	0.68
GB43097,GB43098	0.495
GB54728	0.43
GB48598	0.32
GB43906	0.26
GB42515	0.13
GB45902	0.11
GB41713	0.45
GB49087	0.27
GB53029	0.57
GB44276	0.39
GB41753	0.55
GB42781	0.59
GB49054,GB43751	0.35
GB51744	0.22
GB51964	0.44
GB47379	0.32
GB46218	0.24
GB54354	0.25
GB46267	0.45
GB46371	0.48
GB54097	0.34
GB52456	0.65
GB47661	0.34
GB47768	0.64
GB46327	0.24
GB42196,GB49726	0.345
GB41342	0.5
GB49425	0.2
GB46728	0.64
GB48967	0.41
GB44073	0.49
GB42661	0.21
GB51541	0.92
GB51418	0.35
GB50262	0.25
GB44616	0.29
GB42919	0.33
GB55094,GB55094,GB55094,GB55094	0.18
GB43552	0.63
GB55784	0.24
GB42681	0.66
GB44331	0.66
GB47575	0.55
GB54201	0.75
GB52755	0.27
GB48467	0.56
GB53013	0.31
GB55743	0.45
GB44766,GB44766	0.44
GB44615	0.46
GB49074	0.31
GB45852	0.48
GB41173	0.32
GB44901	0.43
GB42716,GB55345	0.515
GB41024	0.53
GB52057	0.42
GB53308	0.14
GB47343	0.13
GB52388,GB52408	0.06
GB42425	0.09
GB49231	0.26
GB51599	0.74
GB48165	0.4
GB48452	0.5
GB53238	0.36
GB40711	0.47
GB51630	0.3
GB49396	0.44
GB55507	0.66
GB43145	0.42
GB55831	0.55
GB42771	0.53
GB44996	0.47
GB49117	0.83
GB48778	0.64
GB40273	0.29
GB49780	0.25
GB47110	0.5
GB48982	0.25
GB50619	0.25
GB51393	0.27
GB44364	0.34
GB48690	0.13
GB54282	0.55
GB49355	0.72
GB53682	0.17
GB46740	0.81
GB40479	0.62
GB46466	0.6
GB52325	0.31
GB55307	0.1
GB47061	0.74
GB45087	0.49
GB50972	0.83
GB40842	0.18
GB44010	0.29
GB47114	0.23
GB55506	0.33
GB42680	0.6
GB49584	0.24
GB45645	0.49
GB41195	0.37
GB44882	0.31
GB52845	0.19
GB47626	0.37
GB44319	0.61
GB49704	0.35
GB44910	0.47
GB41520,GB41521	0.32
GB42383	0.21
GB53378	0.47
GB50609	0.62
GB44507	0.69
GB44556	0.19
GB42143	0.6
GB55517	0.24
GB50442	0.42
GB53088	0.64
GB48024	0.39
GB41807	0.12
GB51338	0.38
GB42286	0.48
GB40866	0.48
GB44761	0.58
GB40118	0.44
GB51095	0.3
GB48951	0.63
GB51632	0.18
GB42744	0.55
GB44344	0.25
GB55096	0.1
GB54762	0.29
GB52037	0.69
GB50166	0.59
GB44943	0.57
GB50078	0.69
GB40907	0.28
GB42382	0.59
GB40427	0.47
GB45507	0.64
GB42855	0.5
GB55190	0.6
GB46542	0.79
GB40106	0.62
GB53665	0.27
GB41730	0.7
GB45361	0.33
GB55259	0.15
GB49883	0.63
GB54957	0.41
GB51148	0.68
GB55369	0.48
GB42516	0.3
GB51818	0.53
GB52244	0.19
GB54101	0.39
GB54337	0.61
GB52687	0.66
GB43200	0.46
GB49285	0.53
GB48623	0.37
GB52979	0.44
GB41164	0.52
GB42296	0.52
GB48669	0.5
GB51937	0.54
GB49869	0.18
GB45151	0.45
GB49269,GB49269	0.35
GB44078	0.36
GB47411	0.17
GB48262	0.54
GB44791,GB44791,GB44791	0.29
GB53033	0.43
GB54674	0.18
GB50973	0.4
GB44941	0.55
GB44850	0.26
GB47450	0.53
GB42021	0.8
GB42997	0.46
GB53295	0.33
GB52275	0.03
GB43963	0.18
GB55986	0.04
GB55890	0.87
GB45340	0.45
GB50626	0.25
GB51608	0.37
GB52751	0.42
GB50474	0.24
GB40925	0.84
GB45189	0.24
GB55575,GB43649	0.545
GB40909	0.52
GB49025	0.49
GB44548	0.24
GB55693,GB55693	0.32
GB45152	0.29
GB47151	0.4
GB55491	0.41
GB53768	0.29
GB54847	0.21
GB48836	0.53
GB51508	0.53
GB50897	0.19
GB50337	0.53
GB43270	0.12
GB40948	0.42
GB46023	0.37
GB40824	0.64
GB50132,GB48490	0.63
GB41651	0.31
GB49714,GB49714	0.26
GB53155	0.5
GB42841	0.02
GB54812	0.42
GB42354	0.5
GB52542	0.39
GB48046,GB41540	0.05
GB44271	0.12
GB52510	0.78
GB43805	0.21
GB47845	0.25
GB52992	0.29
GB45492	0.57
GB49749	0.48
GB55459	0.74
GB54918,GB54918	0.53
GB53753	0.47
GB54347	0.16
GB49943	0.62
GB50257	0.37
GB41811	0.38
GB51211,GB51211	0.25
GB55187	0.74
GB47736	0.19
GB45287	0.54
GB53289	0.18
GB55576	0.29
GB54571	0.44
GB49827	0.37
GB44288	0.77
GB54052	0.48
GB48661	0.32
GB55587	0.78
GB51504	0.25
GB54228	0.55
GB46304,GB46308	0.39
GB44848	0.23
GB45408	0.58
GB54731	0.34
GB54049	0.74
GB51441,GB51441	0.12
GB49558	0.26
GB55569	0.59
GB51698	0.21
GB55508	0.43
GB45655	0.98
GB48811	0.59
GB44048	0.4
GB49535,GB49535,GB46266	0.246666667
GB46231	0.66
GB55400	0.48
GB48521,GB48521	0.19
GB40853	0.13
GB41962	0.19
GB52576	0.17
GB43104	0.29
GB41701	0.54
GB53331	0.3
GB44880	0.5
GB43217	0.5
GB55919	0.57
GB50021	0.47
GB44770	0.11
GB40548	0.23
GB42159	0.3
GB50701	0.55
GB48367	0.6
GB53439	0.53
GB43295	0.69
GB53268	0.25
GB51817	0.42
GB49284	0.57
GB50526	0.25
GB56009,GB56009,GB56009	0.2
GB43676	0.16
GB46910	0.25
GB48326	0.5
GB48028	0.37
GB53936	0.43
GB50066	0.15
GB45952	0.21
GB48462	0.2
GB54574	0.07
GB40541	0.53
GB54050	0.33
GB41710	0.5
GB41032	0.79
GB44909	0.45
GB53793	0.57
GB52616	0.72
GB55521	0.49
GB41769	0.6
GB48112	0.33
GB49081	0.48
GB43192	0.53
GB40296	0.29
GB55665	0.98
GB48313	0.55
GB42920	0.57
GB41280	0.14
GB52724	0.17
GB42965	0.38
GB51694	0.34
GB44662	0.58
GB42494	0.7
GB54167	0.53
GB40343	0.36
GB49012	0.39
GB55054,GB55054	0.13
GB49076	0.16
GB54867,GB53933	0.255
GB51697	0.18
GB55929	0.25
GB44517	0.51
GB46709	0.81
GB55494	0.33
GB47393	0.78
GB44346	0.79
GB50527	0.22
GB51713	0.47
GB42564	0.51
GB52763	0.47
GB41182	0.33
GB48750	0.61
GB50877	0.31
GB42850	0.24
GB54927	0.7
GB48816	0.21
GB55622,GB55621	0.075
GB44829	0.52
GB48911	0.32
GB52569	0.23
GB48136	0.35
GB49637	0.5
GB43867	0.16
GB42156	0.13
GB52623	0.35
GB40480	0.3
GB44997	0.7
GB55624	0.47
GB52686	0.62
GB45436	0.36
GB42840	0.66
GB45879,GB47131	0.525
GB55302	0.31
GB52820,GB53324	0.215
GB46641	0.59
GB54599	0.6
GB44575	0.45
GB51995	0.5
GB54971	0.51
GB46788	0.21
GB55158	0.55
GB49004	0.53
GB51495	0.58
GB40637	0.62
GB53820	0.71
GB50921,GB56021	0.35
GB55112	0.41
GB41617	0.41
GB42606	0.19
GB55530	0.31
GB42249	0.23
GB54988,GB54988,GB51379	0.303333333
GB43687	0.11
GB40775	0.5
GB41738	0.59
GB49219	0.22
GB41455	0.47
GB54499	0.54
GB45184	0.29
GB41063	0.72
GB40804	0.44
GB42994,GB42994	0.31
GB45654	0.25
GB53147	0.61
GB50265	0.15
GB50364	0.39
GB51809	0.21
GB49056	0.79
GB53039	0.32
GB54152,GB54150	0.405
GB41735	0.38
GB46628	0.34
GB46580	0.57
GB41028	0.58
GB51893	0.84
GB52260	0.33
GB45296	0.36
GB50168	0.87
GB46791	0.43
GB40208	0.57
GB45825	0.4
GB44557	0.13
GB55659	0.71
GB45364	0.43
GB54735	0.21
GB40513	0.27
GB48626,GB53757	0.455
GB42943	0.53
GB54217	0.51
GB55493	0.64
GB47041	0.28
GB40871	0.28
GB51646	0.21
GB41372	0.37
GB51558	0.26
GB52739	0.74
GB42479	0.56
GB43553	0.52
GB40931	0.01
GB43737	0.08
GB41768	0.27
GB44883	0.84
GB52421	0.85
GB52793	0.42
GB49484,GB49484	0.46
GB42275	0.38
GB46241	0.57
GB42689	0.73
GB48691	0.19
GB52424	0.36
GB50045	0.4
GB53084	0.49
GB45459	0.21
GB47111	0.48
GB47660	0.37
GB49155	0.62
GB40364	0.52
GB41257	0.67
GB42656	0.54
GB51755	0.47
GB44259	0.22
GB53715,GB53714	0.44
GB44688	0.54
GB45017	0.16
GB55594	0.42
GB50672	0.41
GB50627	0.2
GB46661	0.27
GB43004	0.54
GB46296	0.16
GB46029	0.61
GB40074,GB40074	0.45
GB47285	0.59
GB55823	0.57
GB42271	0.17
GB45830	0.5
GB50750	0.5
GB43247	0.06
GB50725	0.88
GB51143	0.45
GB51117	0.62
GB52813	0.64
GB49548	0.19
GB41672	0.31
GB48720	0.55
GB49380	0.43
GB44149	0.36
GB49066	0.46
GB41427	0.12
GB50094	0.57
GB54818	0.26
GB51064	0.67
GB49634	0.73
GB54689	0.49
GB45794,GB45794	0.06
GB42822	0.27
GB45254	0.55
GB44366	0.4
GB46565	0.17
GB40424	0.29
GB49473	0.11
GB40531,GB40534	0.335
GB46211	0.54
GB46895	0.38
GB43226	0.65
GB42932	0.47
GB44419	0.31
GB42666	0.31
GB54351	0.27
GB55003	0.47
GB53389	0.28
GB40112	0.34
GB52677	0.55
GB43782	0.49
GB51110	0.29
GB40783	0.48
GB51112	0.59
GB54093	0.5
GB46694	0.38
GB50392	0.59
GB45761	0.76
GB41863	0.65
GB53319	0.18
GB44792	0.59
GB41141	0.42
GB49497	0.62
GB53836	0.37
GB54234	0.25
GB40319	0.4
GB43709	0.34
GB47548	0.29
GB51226	0.38
GB53650	0.46
GB52255	0.21
GB45939	0.54
GB40278	0.23
GB45215	0.69
GB48566	0.6
GB53414	0.39
GB46423	0.62
GB41621	0.26
GB54661	0.62
GB40269	0.5
GB45134	0.13
GB51465	0.72
GB54745	0.52
GB47573	0.56
GB44751	0.19
GB45318	0.32
GB41632	0.53
GB42203	0.59
GB45665	0.63
GB51816	0.22
GB54139	0.18
GB40923	0.55
GB44629	0.9
GB51813	0.13
GB52775	0.5
GB45086,GB47066	0.765
GB54975	0.32
GB48169	0.7
GB48993,GB48993	0.27
GB42186	0.66
GB55589	0.55
GB51421	0.48
GB51894	0.72
GB46636	0.31
GB43745	0.05
GB55853	0.52
GB43888	0.72
GB54170	0.5
GB54118	0.27
GB51223	0.06
GB55560	0.58
GB54623	0.3
GB52726	0.62
GB51671	0.28
GB48749	0.67
GB43820	0.41
GB50986	0.32
GB54372	0.51
GB54189	0.32
GB46173	0.5
GB49400	0.31
GB40029	0.37
GB46246	0.53
GB46710	0.26
GB50892	0.24
GB54794	0.13
GB47333	0.31
GB44146	0.48
GB41082	0.6
GB42207	0.54
GB44747	0.36
GB47869	0.17
GB43205	0.19
GB40975	0.41
GB55945	0.35
GB40407	0.33
GB49957	0.26
GB42973	0.53
GB52812	0.56
GB44208	0.22
GB44423	0.66
GB54056	0.25
GB52118	0.47
GB50625	0.23
GB51814	0.21
GB48838	0.17
GB47389	0.55
GB52469	0.36
GB49114	0.0
GB52983	0.41
GB53365	0.66
GB54172	0.63
GB51400	0.53
GB43555	0.51
GB55585	0.26
GB51984	0.45
GB54985	0.45
GB50175	0.57
GB52254	0.54
GB55476	0.43
GB47188	0.49
GB40356	0.13
GB47427	0.54
GB54666	0.38
GB53180	0.35
GB45198	0.1
GB44524	0.51
GB41065	0.58
GB45046	0.51
GB40503	0.24
GB43225	0.3
GB50866,GB50866	0.17
GB53142	0.21
GB44020,GB47607,GB45935	0.376666667
GB43812	0.18
GB49915	0.19
GB53666	0.67
GB44148	0.61
GB41169	0.28
GB45415	0.35
GB47960	0.17
GB49725	0.08
GB40451	0.26
GB49412	0.14
GB55287	0.2
GB41866	0.57
GB48006	0.06
GB45938,GB45973	0.19
GB45871	0.43
GB54886	0.15
GB49839	0.18
GB48124	0.74
GB43565	0.61
GB42277	0.64
GB50594	0.66
GB42969	0.44
GB51160	0.65
GB50232	0.24
GB45976	0.5
GB43912	0.53
GB45499	0.38
GB50229	0.54
GB55504	0.42
GB55268	0.42
GB55503	0.53
GB45028	0.18
GB46792	0.62
GB40799	0.31
GB53124	0.34
GB54363	0.59
GB44621	0.44
GB42304	0.5
GB51689	0.31
GB46927	0.28
GB49803	0.68
GB53351,GB46992	0.39
GB40768,GB40809	0.11
GB53589	0.95
GB45827	0.43
GB46892	0.41
GB44493	0.34
GB50829	0.23
GB49353	0.39
GB55802	0.41
GB54643	0.15
GB45315	0.36
GB41080	0.59
GB50553	0.31
GB46263	0.4
GB52877	0.31
GB40442	0.34
GB46216	0.35
GB53835,GB53833	0.35
GB45837	0.31
GB51834	0.19
GB41045,GB41045	0.52
GB44292	0.52
GB44008	0.66
GB53055	0.66
GB43856	0.44
GB50864	0.06
GB40365	0.5
GB40091	0.61
GB52074	0.6
GB42644	0.45
GB49953	0.26
GB51013	0.59
GB54091	0.12
GB40063,GB40063	0.47
GB53336	0.35
GB41127	0.11
GB46735	0.55
GB44944	0.34
GB52955	0.17
GB48034	0.19
GB55453	0.7
GB49270,GB49270	0.6
GB40652	0.81
GB43135	0.3
GB52910	0.19
GB41147	0.42
GB54511	0.5
GB48078	0.29
GB53926	0.17
GB47456	0.54
GB49488	0.57
GB53220	0.45
GB50207	0.23
GB45986	0.18
GB45486	0.25
GB42355	0.47
GB43885	0.21
GB52628	0.34
GB49227	0.21
GB42941	0.05
GB54861	0.23
GB47346	0.82
GB50348	0.35
GB49344	0.53
GB53379,GB50129	0.43
GB52706	0.54
GB50678	0.47
GB43305	0.66
GB42142	0.31
GB47665	0.33
GB55584	0.57
GB41343	0.22
GB49173,GB51647	0.42
GB47813	0.32
GB55388	0.12
GB50793	0.42
GB52340	0.65
GB42664	0.28
GB53093	0.18
GB51163	0.12
GB44283	0.56
GB52259	0.51
GB45145,GB45145	0.3
GB48223	0.44
GB45862	0.5
GB54526	0.42
GB54923	0.24
GB41472	0.61
GB40599	0.75
GB48536	0.4
GB40718	0.55
GB50159,GB43064	0.335
GB55916	0.15
GB50977	0.47
GB54835,GB54835	0.3
GB55090	0.22
GB46305	0.09
GB40941	0.69
GB51622	0.21
GB50460	0.53
GB48454	0.2
GB44041	0.49
GB50652	0.55
GB42898	0.44
GB53815	0.74
GB48813	0.26
GB44049	0.65
GB47055	0.32
GB46015,GB46062	0.3
GB55772	0.34
GB52056,GB52054	0.365
GB43420	0.31
GB48115	0.42
GB50638	0.41
GB50063	0.64
GB49372	0.53
GB46952,GB46952,GB46952	0.2
GB52153	0.32
GB49962	0.92
GB40555	0.59
GB45919	0.07
GB52028	0.41
GB49323	0.1
GB45666	0.23
GB44519	0.57
GB40874	0.58
GB44946	0.29
GB40720	0.68
GB44207	0.46
GB44904	0.62
GB51345	0.43
GB46124	0.61
GB44772	0.17
GB47064	0.31
GB53709	0.33
GB43575	0.1
GB52523	0.82
GB52261	0.31
GB40894	0.38
GB51805,GB51805	0.25
GB49362	0.44
