gene	WGA
GB42949	1.0
GB45518	0.56
GB55366	0.95
GB40901	0.88
GB54325	0.39
GB41094,GB41094	0.48
GB47748	0.83
GB45140	0.5
GB46036	0.88
GB45926	1.0
GB48847	0.85
GB46431	0.93
GB50521,GB50521	0.83
GB41874	0.94
GB44687	0.07
GB50491	0.97
GB50911	0.78
GB46165	0.71
GB44114,GB47820	0.97
GB41825	0.92
GB45777,GB48385	0.785
GB50640	0.89
GB51638	0.94
GB49534,GB49534	0.67
GB44516	0.91
GB44661,GB44455	0.74
GB47488,GB46971	0.72
GB47334	0.85
GB52651	0.95
GB44533	0.96
GB47876	0.57
GB50261	0.68
GB55074	0.48
GB49478	0.56
GB46746	0.83
GB53846	0.88
GB48386	0.6
GB44082	0.96
GB45273	0.68
GB45278	0.82
GB40287	0.82
GB44223	0.76
GB49870	0.51
GB50303	0.69
GB51264	0.41
GB48809	0.84
GB46436	0.87
GB47440	0.91
GB49309	0.61
GB47018,GB47018,GB47018	0.71
GB43000,GB43000	0.87
GB45072	0.92
GB50105	0.78
GB41136	0.95
GB54083	0.92
GB50730	0.65
GB49050	0.9
GB45713,GB45708	0.69
GB54332	0.8
GB52503	0.93
GB45363	0.89
GB55985	0.54
GB47081	0.88
GB44742	0.82
GB42224	0.76
GB43171	0.92
GB46684	0.93
GB41876	0.85
GB41864	0.85
GB43149	0.99
GB50237	0.56
GB49089	0.91
GB52676	0.28
GB40282	0.47
GB51015	0.58
GB44347	0.94
GB40788	0.46
GB48938	0.92
GB47549	0.81
GB51912	0.9
GB52619,GB43636	0.87
GB43475	0.41
GB44690	0.95
GB42436	0.26
GB51967	0.44
GB46621	0.89
GB40563,GB55130	0.91
GB44031	0.95
GB51237	0.68
GB48889,GB48889	0.62
GB48786	0.41
GB44307	0.71
GB55757	0.54
GB50245	0.83
GB54627	0.96
GB45463,GB45463,GB54870	0.553333333
GB46973	0.62
GB50960	0.89
GB49528	0.78
GB54622	0.43
GB40580	0.66
GB49906	0.45
GB54124	0.76
GB54493	0.54
GB49037	0.92
GB55896	0.71
GB54522	0.76
GB50586	0.68
GB45067	0.45
GB51431	0.19
GB54742	0.85
GB47102	0.86
GB48360	0.96
GB49579	0.81
GB47230	0.92
GB54436	0.5
GB44387,GB44387	0.6
GB44295	0.66
GB45568	0.87
GB43122	0.91
GB51828	0.63
GB45349	0.99
GB45343	0.79
GB45052	0.55
GB41156	0.56
GB50244	0.57
GB44353	0.9
GB46627	0.88
GB52247	0.92
GB54428	0.99
GB45126	0.75
GB43561	0.88
GB48055	0.65
GB49896	0.9
GB41902	0.91
GB43052	0.74
GB44176	0.96
GB42854	0.65
GB42063	0.93
GB47106	0.87
GB42559	0.84
GB54242,GB54242	0.99
GB48160	0.75
GB50178	0.83
GB48370	0.91
GB52948	0.79
GB49590	0.86
GB55359	0.93
GB40217	0.84
GB52158	0.62
GB47194	0.67
GB44570,GB45484	0.965
GB41487	0.77
GB40863	0.94
GB44592	0.76
GB45297	0.94
GB52797	0.94
GB55056	0.6
GB45031	0.7
GB42501	0.87
GB44900	0.9
GB50537	0.7
GB50777	0.72
GB52557	0.8
GB42783	0.4
GB55333	0.62
GB42211	0.96
GB51525	0.55
GB46290	0.38
GB54809	0.86
GB51836	0.94
GB53949	0.87
GB55704	0.67
GB46908	0.87
GB48266	0.04
GB53376	0.85
GB41819	0.64
GB48596	0.91
GB49505	0.79
GB44199,GB44199	0.64
GB55387	0.61
GB42892	0.83
GB47962	0.71
GB55765	0.9
GB51749	0.42
GB53237	0.85
GB45457	0.86
GB42215	0.85
GB54784	0.5
GB50157	0.64
GB45194	0.94
GB50126	0.93
GB46300	0.67
GB50069	0.64
GB53944	0.87
GB47942	0.64
GB47350	0.85
GB49190	0.8
GB52012	0.95
GB44982	0.89
GB47177	0.84
GB50493	0.89
GB45133	0.96
GB45413	0.71
GB43715	0.98
GB48125	0.07
GB54391	0.91
GB45695	0.9
GB53598	0.58
GB40944	0.23
GB47429	0.92
GB49527	0.82
GB42960	0.9
GB44315	0.83
GB45663	0.98
GB44412	0.81
GB41188	0.58
GB53323	0.32
GB50871	0.92
GB49612	0.56
GB55403	0.81
GB55274	0.22
GB44072	0.4
GB54214	0.87
GB51505	0.93
GB55940	0.73
GB40437	0.69
GB49327	0.7
GB42651	0.84
GB49494	0.99
GB46339	0.88
GB54989	0.73
GB53035	0.84
GB43366	0.71
GB54994	0.73
GB51333	0.97
GB47737	0.48
GB44682	0.76
GB51063	0.56
GB54239	0.58
GB45555	0.91
GB52978	0.94
GB41294	0.64
GB55660	0.93
GB45875	0.63
GB44611	0.99
GB44293	0.93
GB48684	0.49
GB41171	0.71
GB47503	0.59
GB47846	0.93
GB43435	0.86
GB45525,GB45524,GB44248	0.713333333
GB50506	0.45
GB52195	0.8
GB43637	0.94
GB51580	0.67
GB52704	0.86
GB41693	0.87
GB42487	0.88
GB46042	0.84
GB48337	0.86
GB44121	0.7
GB43113	0.75
GB50367	0.71
GB52498	0.88
GB55485	0.46
GB44099	0.57
GB50071	0.95
GB49120	1.0
GB42450	0.3
GB43162	0.92
GB46685	0.53
GB44636	0.97
GB50352	0.87
GB48746	0.1
GB43738	0.87
GB42652	0.73
GB45175	0.87
GB46523	0.87
GB46692	0.91
GB52045	0.49
GB40867,GB40947,GB40867	0.723333333
GB51354	0.54
GB42451	0.73
GB44436	0.95
GB48066,GB48782	0.72
GB46189	0.94
GB43551	0.9
GB47329	0.74
GB48678	0.74
GB46512	0.71
GB53251	0.92
GB47387	0.85
GB47423	0.71
GB51885	0.73
GB47250	0.96
GB42358	0.66
GB53654	0.91
GB49486	0.91
GB46672	0.78
GB49604	0.75
GB45872	0.87
GB45684	0.73
GB41036	0.5
GB41982	0.77
GB47222	0.78
GB43015	0.56
GB48199	0.48
GB45128	0.81
GB47471	0.74
GB49525	0.69
GB49841	0.97
GB51999	0.96
GB51738	0.73
GB44590	0.42
GB50891	0.82
GB50039	0.92
GB49909	0.81
GB50190	0.93
GB52627	0.86
GB47300	0.98
GB50802	0.92
GB54111	0.94
GB48416	0.91
GB48237	0.85
GB55489,GB55489	0.47
GB52588	0.69
GB54789	0.15
GB44163	0.56
GB41261	0.7
GB50511	0.93
GB43087	0.3
GB49966	0.39
GB43411	0.93
GB40674	0.87
GB51726	0.69
GB45923	0.85
GB55299	0.8
GB44534	0.93
GB53788	0.83
GB47076	0.84
GB50290	0.63
GB53166	0.66
GB48456	0.94
GB48075	0.73
GB40363	0.92
GB44333	0.87
GB45180	0.85
GB45425	0.57
GB40766	0.94
GB48873	0.97
GB51560	0.96
GB47413,GB47413	0.2
GB51093	0.8
GB47189	0.82
GB49701	0.97
GB50471	0.77
GB47556	0.39
GB44410	0.9
GB50015	0.55
GB41867	0.94
GB55877,GB55877	0.48
GB48692	0.73
GB43256	0.96
GB44327	0.91
GB42551	0.64
GB50031	0.88
GB55893	0.47
GB54190	0.88
GB45314	0.87
GB47260	0.97
GB55930	0.65
GB43697	0.89
GB44325	0.41
GB52047	0.96
GB54935	0.54
GB44175	0.77
GB53782	0.46
GB50281	0.81
GB40999	0.71
GB54144	0.67
GB47042	0.63
GB45778	0.63
GB47043	0.82
GB46773,GB40332	0.97
GB49169	0.78
GB45985	0.85
GB45487	0.96
GB44757	0.79
GB46972	0.81
GB45534	0.87
GB55390	0.91
GB49456	0.9
GB52929	0.6
GB55971	0.93
GB40335	0.46
GB52360	0.64
GB42534	0.37
GB42023	0.93
GB50418	0.67
GB55537	0.88
GB50748	0.76
GB40577	0.76
GB52785	0.87
GB47007	0.66
GB42945	0.87
GB41304	0.59
GB47232	0.96
GB54608	0.12
GB49330	0.93
GB42096	0.51
GB49622	0.8
GB41211	0.9
GB44526	0.78
GB53700	0.96
GB48539	0.59
GB42747	0.86
GB46640	0.73
GB41397	0.75
GB52904	0.94
GB53045,GB53043	0.755
GB49130	0.36
GB40201,GB40191,GB40184,GB40197,GB40200,GB40186,GB47122,GB40184,GB47122,GB47121,GB40194,GB40196,GB40193,GB40197,GB40183,GB40187,GB40192,GB46573,GB47122	0.721578947
GB43107,GB43108	0.7
GB45495,GB40976	0.94
GB45618,GB45618	0.4
GB43549	0.79
GB50648	0.76
GB41704	0.72
GB44156	0.32
GB54145	0.52
GB43079	0.85
GB42454	0.94
GB41463,GB41464	0.38
GB48608	0.59
GB43277	0.61
GB49315	0.93
GB42020	0.98
GB50741	0.93
GB50812	0.93
GB41281	0.59
GB48469	0.78
GB48563	0.79
GB43984,GB45309	0.9
GB41212,GB53028,GB40624,GB49394	0.6075
GB48557	0.73
GB40064	0.71
GB42848	0.7
GB52427	0.51
GB52282	0.72
GB41856	0.32
GB54986	0.53
GB40076	0.79
GB40980	0.78
GB52423	0.96
GB41315	0.66
GB44285	0.96
GB49967	0.72
GB49152	0.81
GB45776,GB45776	0.7
GB51634	0.89
GB49466	0.55
GB42732	0.67
GB45733	0.54
GB51968	1.0
GB41002,GB41003	0.645
GB42313	0.51
GB52825	0.9
GB53333	0.93
GB51751	0.61
GB40592,GB53981	0.69
GB46480	0.85
GB40274	0.68
GB48677	0.83
GB46360,GB46360	0.56
GB49124	0.43
GB55619	0.74
GB46609	0.98
GB48765	0.72
GB47984	0.72
GB42223	0.9
GB50409	0.84
GB55278	0.97
GB44579	0.91
GB53520	0.79
GB51494	0.74
GB49843	0.72
GB43487	0.81
GB50957	0.55
GB52953	0.51
GB46960	0.76
GB55505	0.59
GB47635	0.7
GB51040	0.63
GB46257	0.93
GB47235	0.97
GB51119	0.73
GB54261	0.71
GB50771	0.7
GB40158	0.64
GB43502	0.67
GB44222	0.81
GB55632	0.9
GB51198	0.74
GB49559	0.94
GB40816	0.86
GB43095	0.7
GB42190	0.9
GB44567	0.42
GB54881	0.38
GB53126	0.53
GB44936	0.93
GB49852	0.57
GB47278	0.71
GB52314	0.82
GB46273	0.93
GB55389	0.77
GB53862	0.85
GB52937	0.66
GB48122	0.96
GB43836	0.8
GB40693	0.56
GB53830	0.76
GB40654	0.78
GB52211	0.86
GB41827	0.85
GB40415	0.87
GB46048	0.82
GB41872	0.73
GB45345	0.69
GB51361	0.78
GB41451	0.94
GB48457	0.93
GB44187	0.74
GB51464	0.7
GB49571	0.99
GB48526	0.66
GB41840	0.9
GB51819	0.52
GB52052	0.53
GB42817	0.88
GB42865	0.66
GB50065	0.76
GB43622	0.89
GB46322	0.77
GB50932	0.62
GB51000,GB51000	0.94
GB49349	0.92
GB42721	0.84
GB49098	0.51
GB45071	0.92
GB44828	0.88
GB40466,GB40466	0.84
GB46929	0.87
GB49946	0.75
GB45868	0.83
GB51080	0.94
GB53812	0.93
GB55448	0.91
GB52597	0.72
GB44918	0.94
GB45127	0.97
GB40388	0.93
GB54590	0.94
GB46151	0.52
GB42295	0.95
GB50299	0.98
GB50146	0.42
GB54651	0.94
GB53683	0.92
GB46452	0.92
GB53685,GB53685	0.94
GB48378	0.89
GB41037	0.83
GB42297	0.81
GB50130	0.42
GB43831	0.84
GB55348	0.68
GB51938	0.82
GB54512	0.89
GB47435	0.9
GB47073	0.51
GB45692	0.85
GB54264	0.88
GB43441	0.94
GB45131	0.76
GB53199	0.81
GB55931	0.94
GB47838	0.57
GB51725	0.86
GB46054	0.62
GB49188	0.89
GB50653	0.85
GB53062	0.47
GB46918,GB50327	0.84
GB50365	0.77
GB43245	0.43
GB47451	0.87
GB48157	0.86
GB46954	0.85
GB40359	0.87
GB49533	0.68
GB49589	0.96
GB44961	0.46
GB43172	0.84
GB51655	0.77
GB51029	0.9
GB40704	0.88
GB50955,GB48208	0.69
GB55830	0.8
GB53607	0.52
GB53380	0.64
GB43293	0.66
GB53411	0.9
GB41590	0.37
GB50228	0.65
GB48532	0.92
GB41610	0.89
GB51058	0.59
GB53582,GB53582	0.54
GB40946	0.93
GB49146	0.91
GB54268	0.88
GB53148	0.74
GB54140	0.66
GB48817	0.83
GB45429	0.79
GB52722	0.93
GB40614	0.74
GB49518	0.39
GB53092	0.92
GB45341	0.95
GB45732	0.79
GB51209	0.61
GB40578	0.86
GB43191	0.49
GB44123	0.91
GB42167	0.41
GB44656	0.98
GB43953	0.48
GB47184	0.94
GB47461	0.91
GB51302	0.29
GB51833	0.71
GB46338	0.8
GB55006	0.73
GB42268	0.49
GB45392	0.58
GB53239	0.81
GB44371	0.92
GB44184	0.88
GB53196,GB53196	0.83
GB47847	0.77
GB52893	0.6
GB40765	0.79
GB50226	0.75
GB52926	0.49
GB45833	0.62
GB53849	0.94
GB43271	0.53
GB51190	0.58
GB47502	0.93
GB46240	0.72
GB53174	0.84
GB44168	0.86
GB45275	0.83
GB50259	0.84
GB50090	0.96
GB52559	0.83
GB45955	0.73
GB45213	0.6
GB41290	0.81
GB40545	0.91
GB43097,GB43098	0.865
GB54728	0.64
GB48598	0.79
GB43906	0.69
GB42515	0.7
GB45902	0.46
GB41713	0.92
GB49087	0.54
GB53029	0.84
GB44276	0.62
GB41753	0.91
GB42781	0.86
GB49054,GB43751	0.595
GB51744	0.65
GB51964	0.87
GB47379	0.76
GB46218	0.62
GB54354	0.88
GB46267	0.98
GB46371	0.77
GB54097	0.78
GB52456	0.93
GB47661	0.71
GB47768	0.89
GB46327	0.58
GB42196,GB49726	0.715
GB41342	0.9
GB49425	0.75
GB46728	0.9
GB48967	0.86
GB44073	0.72
GB42661	0.9
GB51541	0.99
GB51418	0.74
GB50262	0.51
GB44616	0.75
GB42919	0.91
GB55094,GB55094,GB55094,GB55094	0.56
GB43552	0.94
GB55784	0.46
GB42681	0.92
GB44331	0.92
GB47575	0.91
GB54201	0.97
GB52755	0.95
GB48467	0.92
GB53013	0.47
GB55743	0.92
GB44766,GB44766	0.71
GB44615	0.88
GB49074	0.9
GB45852	0.74
GB41173	0.93
GB44901	0.85
GB42716,GB55345	0.955
GB41024	0.85
GB52057	0.69
GB53308	0.4
GB47343	0.83
GB52388,GB52408	0.865
GB42425	0.61
GB49231	0.5
GB51599	0.93
GB48165	0.68
GB48452	0.81
GB53238	0.96
GB40711	0.89
GB51630	0.61
GB49396	0.73
GB55507	0.94
GB43145	0.6
GB55831	0.79
GB42771	0.89
GB44996	0.91
GB49117	0.96
GB48778	0.98
GB40273	0.7
GB49780	0.71
GB47110	0.88
GB48982	0.54
GB50619	0.76
GB51393	0.84
GB44364	0.81
GB48690	0.61
GB54282	0.98
GB49355	0.95
GB53682	0.46
GB46740	0.98
GB40479	0.94
GB46466	0.83
GB52325	0.7
GB55307	0.55
GB47061	0.94
GB45087	0.9
GB50972	0.99
GB40842	0.62
GB44010	0.86
GB47114	0.61
GB55506	0.82
GB42680	0.95
GB49584	0.99
GB45645	0.67
GB41195	0.88
GB44882	0.86
GB52845	0.49
GB47626	0.81
GB44319	0.99
GB49704	0.92
GB44910	0.8
GB41520,GB41521	0.59
GB42383	0.81
GB53378	0.91
GB50609	0.91
GB44507	0.93
GB44556	0.72
GB42143	0.92
GB55517	0.69
GB50442	0.85
GB53088	0.92
GB48024	0.68
GB41807	0.82
GB51338	0.93
GB42286	0.91
GB40866	0.84
GB44761	0.91
GB40118	0.8
GB51095	0.57
GB48951	0.92
GB51632	0.87
GB42744	0.88
GB44344	0.71
GB55096	0.43
GB54762	0.72
GB52037	0.95
GB50166	0.95
GB44943	0.94
GB50078	0.94
GB40907	0.72
GB42382	0.91
GB40427	0.91
GB45507	0.94
GB42855	0.89
GB55190	0.87
GB46542	0.98
GB40106	0.92
GB53665	0.76
GB41730	0.71
GB45361	0.79
GB55259	0.53
GB49883	0.94
GB54957	0.75
GB51148	0.92
GB55369	0.85
GB42516	0.68
GB51818	0.88
GB52244	0.83
GB54101	0.95
GB54337	0.95
GB52687	0.93
GB43200	0.89
GB49285	0.7
GB48623	0.86
GB52979	0.89
GB41164	0.9
GB42296	0.86
GB48669	0.9
GB51937	0.81
GB49869	0.68
GB45151	0.6
GB49269,GB49269	0.63
GB44078	0.64
GB47411	0.51
GB48262	0.77
GB44791,GB44791,GB44791	0.67
GB53033	0.85
GB54674	0.45
GB50973	0.68
GB44941	0.84
GB44850	0.75
GB47450	0.94
GB42021	0.96
GB42997	0.91
GB53295	0.61
GB52275	0.38
GB43963	0.53
GB55986	0.27
GB55890	0.95
GB45340	0.88
GB50626	0.64
GB51608	0.7
GB52751	0.62
GB50474	0.72
GB40925	0.99
GB45189	0.36
GB55575,GB43649	0.805
GB40909	0.84
GB49025	0.87
GB44548	0.55
GB55693,GB55693	0.82
GB45152	0.66
GB47151	0.78
GB55491	0.87
GB53768	0.76
GB54847	0.73
GB48836	0.72
GB51508	0.87
GB50897	0.74
GB50337	0.9
GB43270	0.78
GB40948	0.88
GB46023	0.78
GB40824	0.91
GB50132,GB48490	0.905
GB41651	0.7
GB49714,GB49714	0.45
GB53155	0.85
GB42841	0.19
GB54812	0.87
GB42354	0.88
GB52542	0.74
GB48046,GB41540	0.43
GB44271	0.41
GB52510	0.96
GB43805	0.78
GB47845	0.54
GB52992	0.49
GB45492	0.96
GB49749	0.89
GB55459	0.94
GB54918,GB54918	0.89
GB53753	0.89
GB54347	0.39
GB49943	0.89
GB50257	0.59
GB41811	0.73
GB51211,GB51211	0.54
GB55187	0.97
GB47736	0.57
GB45287	0.9
GB53289	0.85
GB55576	0.51
GB54571	0.77
GB49827	0.66
GB44288	0.94
GB54052	0.88
GB48661	0.87
GB55587	0.97
GB51504	0.75
GB54228	0.93
GB46304,GB46308	0.75
GB44848	0.64
GB45408	0.79
GB54731	0.89
GB54049	0.93
GB51441,GB51441	0.5
GB49558	0.62
GB55569	0.92
GB51698	0.72
GB55508	0.9
GB45655	1.0
GB48811	0.83
GB44048	0.72
GB49535,GB49535,GB46266	0.566666667
GB46231	0.88
GB55400	0.68
GB48521,GB48521	0.53
GB40853	0.53
GB41962	0.42
GB52576	0.72
GB43104	0.84
GB41701	0.92
GB53331	0.6
GB44880	0.92
GB43217	0.9
GB55919	0.9
GB50021	0.84
GB44770	0.5
GB40548	0.64
GB42159	0.93
GB50701	0.93
GB48367	0.85
GB53439	0.96
GB43295	0.86
GB53268	0.67
GB51817	0.84
GB49284	0.94
GB50526	0.51
GB56009,GB56009,GB56009	0.41
GB43676	0.6
GB46910	0.41
GB48326	0.85
GB48028	0.8
GB53936	0.83
GB50066	0.68
GB45952	0.69
GB48462	0.63
GB54574	0.46
GB40541	0.84
GB54050	0.82
GB41710	0.86
GB41032	0.96
GB44909	0.89
GB53793	0.95
GB52616	0.93
GB55521	0.9
GB41769	0.91
GB48112	0.57
GB49081	0.93
GB43192	0.86
GB40296	0.74
GB55665	1.0
GB48313	0.92
GB42920	0.86
GB41280	0.33
GB52724	0.5
GB42965	0.79
GB51694	0.82
GB44662	0.92
GB42494	0.85
GB54167	0.89
GB40343	0.77
GB49012	0.66
GB55054,GB55054	0.53
GB49076	0.4
GB54867,GB53933	0.725
GB51697	0.74
GB55929	0.55
GB44517	0.93
GB46709	0.99
GB55494	0.49
GB47393	1.0
GB44346	0.96
GB50527	0.44
GB51713	0.83
GB42564	0.84
GB52763	0.89
GB41182	0.65
GB48750	0.91
GB50877	0.52
GB42850	0.45
GB54927	0.95
GB48816	0.4
GB55622,GB55621	0.325
GB44829	0.89
GB48911	0.72
GB52569	0.82
GB48136	0.66
GB49637	0.84
GB43867	0.93
GB42156	0.31
GB52623	0.71
GB40480	0.74
GB44997	0.9
GB55624	0.78
GB52686	0.95
GB45436	0.79
GB42840	0.94
GB45879,GB47131	0.82
GB55302	0.75
GB52820,GB53324	0.64
GB46641	0.87
GB54599	0.94
GB44575	0.93
GB51995	0.92
GB54971	0.89
GB46788	0.94
GB55158	0.93
GB49004	0.96
GB51495	0.94
GB40637	0.92
GB53820	0.95
GB50921,GB56021	0.75
GB55112	0.63
GB41617	0.86
GB42606	0.47
GB55530	0.89
GB42249	0.48
GB54988,GB54988,GB51379	0.546666667
GB43687	0.4
GB40775	0.89
GB41738	0.95
GB49219	0.76
GB41455	0.87
GB54499	0.93
GB45184	0.7
GB41063	0.92
GB40804	0.85
GB42994,GB42994	0.61
GB45654	0.74
GB53147	0.9
GB50265	0.6
GB50364	0.72
GB51809	0.55
GB49056	0.96
GB53039	0.64
GB54152,GB54150	0.715
GB41735	0.6
GB46628	0.86
GB46580	0.86
GB41028	0.85
GB51893	0.98
GB52260	0.74
GB45296	0.87
GB50168	1.0
GB46791	0.93
GB40208	0.87
GB45825	0.85
GB44557	0.66
GB55659	0.96
GB45364	0.76
GB54735	0.66
GB40513	0.63
GB48626,GB53757	0.82
GB42943	0.86
GB54217	0.95
GB55493	0.94
GB47041	0.72
GB40871	0.42
GB51646	0.51
GB41372	0.68
GB51558	0.65
GB52739	0.97
GB42479	0.92
GB43553	0.89
GB40931	0.1
GB43737	0.77
GB41768	0.74
GB44883	0.97
GB52421	0.98
GB52793	0.84
GB49484,GB49484	0.78
GB42275	0.86
GB46241	0.87
GB42689	0.95
GB48691	0.57
GB52424	0.77
GB50045	0.92
GB53084	0.84
GB45459	0.57
GB47111	0.88
GB47660	0.78
GB49155	0.96
GB40364	0.93
GB41257	0.92
GB42656	0.87
GB51755	0.81
GB44259	0.4
GB53715,GB53714	0.88
GB44688	0.94
GB45017	0.35
GB55594	0.91
GB50672	0.68
GB50627	0.7
GB46661	0.67
GB43004	0.83
GB46296	0.53
GB46029	0.97
GB40074,GB40074	0.73
GB47285	0.88
GB55823	0.84
GB42271	0.67
GB45830	0.93
GB50750	0.88
GB43247	0.57
GB50725	0.98
GB51143	0.89
GB51117	0.91
GB52813	0.91
GB49548	0.45
GB41672	0.74
GB48720	0.84
GB49380	0.77
GB44149	0.74
GB49066	0.61
GB41427	0.58
GB50094	0.93
GB54818	0.5
GB51064	0.94
GB49634	0.99
GB54689	0.88
GB45794,GB45794	0.37
GB42822	0.72
GB45254	0.95
GB44366	0.79
GB46565	0.77
GB40424	0.78
GB49473	0.59
GB40531,GB40534	0.63
GB46211	0.9
GB46895	0.74
GB43226	0.98
GB42932	0.83
GB44419	0.68
GB42666	0.72
GB54351	0.59
GB55003	0.9
GB53389	0.46
GB40112	0.49
GB52677	0.78
GB43782	0.78
GB51110	0.6
GB40783	0.84
GB51112	0.96
GB54093	0.83
GB46694	0.57
GB50392	0.9
GB45761	0.95
GB41863	0.88
GB53319	0.48
GB44792	0.93
GB41141	0.9
GB49497	0.89
GB53836	0.84
GB54234	0.95
GB40319	0.67
GB43709	0.8
GB47548	0.93
GB51226	0.71
GB53650	0.89
GB52255	0.46
GB45939	0.79
GB40278	0.7
GB45215	0.96
GB48566	0.9
GB53414	0.64
GB46423	0.92
GB41621	0.47
GB54661	0.89
GB40269	0.92
GB45134	0.55
GB51465	0.96
GB54745	0.88
GB47573	0.88
GB44751	0.69
GB45318	0.78
GB41632	0.91
GB42203	0.9
GB45665	0.93
GB51816	0.77
GB54139	0.71
GB40923	0.91
GB44629	0.92
GB51813	0.64
GB52775	0.79
GB45086,GB47066	0.935
GB54975	0.79
GB48169	0.96
GB48993,GB48993	0.75
GB42186	0.93
GB55589	1.0
GB51421	0.88
GB51894	0.93
GB46636	0.88
GB43745	0.3
GB55853	0.89
GB43888	0.94
GB54170	0.87
GB54118	0.55
GB51223	0.64
GB55560	0.87
GB54623	0.65
GB52726	0.91
GB51671	0.69
GB48749	0.92
GB43820	0.76
GB50986	0.87
GB54372	0.91
GB54189	0.78
GB46173	0.95
GB49400	0.81
GB40029	0.68
GB46246	0.92
GB46710	0.83
GB50892	0.49
GB54794	0.85
GB47333	0.75
GB44146	0.89
GB41082	0.89
GB42207	0.92
GB44747	0.68
GB47869	0.52
GB43205	0.32
GB40975	0.67
GB55945	0.8
GB40407	0.68
GB49957	0.47
GB42973	0.81
GB52812	0.93
GB44208	0.48
GB44423	0.93
GB54056	0.72
GB52118	0.93
GB50625	0.64
GB51814	0.52
GB48838	0.43
GB47389	0.93
GB52469	0.76
GB49114	0.03
GB52983	0.87
GB53365	0.93
GB54172	0.9
GB51400	0.93
GB43555	0.88
GB55585	0.51
GB51984	0.9
GB54985	0.9
GB50175	0.88
GB52254	0.95
GB55476	0.82
GB47188	0.86
GB40356	0.58
GB47427	0.91
GB54666	0.79
GB53180	0.62
GB45198	0.4
GB44524	0.83
GB41065	0.82
GB45046	0.92
GB40503	0.56
GB43225	0.67
GB50866,GB50866	0.37
GB53142	0.58
GB44020,GB47607,GB45935	0.786666667
GB43812	0.51
GB49915	0.89
GB53666	0.97
GB44148	0.94
GB41169	0.75
GB45415	0.79
GB47960	0.6
GB49725	0.13
GB40451	0.71
GB49412	0.48
GB55287	0.53
GB41866	0.86
GB48006	0.7
GB45938,GB45973	0.69
GB45871	0.84
GB54886	0.48
GB49839	0.64
GB48124	0.97
GB43565	0.91
GB42277	0.91
GB50594	0.98
GB42969	0.88
GB51160	0.9
GB50232	0.44
GB45976	0.92
GB43912	0.9
GB45499	0.78
GB50229	0.93
GB55504	0.84
GB55268	0.64
GB55503	0.78
GB45028	0.48
GB46792	0.93
GB40799	0.84
GB53124	0.66
GB54363	0.91
GB44621	0.68
GB42304	0.76
GB51689	0.68
GB46927	0.81
GB49803	0.95
GB53351,GB46992	0.7
GB40768,GB40809	0.61
GB53589	0.97
GB45827	0.7
GB46892	0.8
GB44493	0.78
GB50829	0.58
GB49353	0.78
GB55802	0.81
GB54643	0.41
GB45315	0.9
GB41080	0.9
GB50553	0.69
GB46263	0.82
GB52877	0.61
GB40442	0.82
GB46216	0.57
GB53835,GB53833	0.65
GB45837	0.67
GB51834	0.71
GB41045,GB41045	0.86
GB44292	0.86
GB44008	0.93
GB53055	0.84
GB43856	0.9
GB50864	0.33
GB40365	0.92
GB40091	0.9
GB52074	0.89
GB42644	0.76
GB49953	0.68
GB51013	0.87
GB54091	0.19
GB40063,GB40063	0.9
GB53336	0.75
GB41127	0.43
GB46735	0.91
GB44944	0.92
GB52955	0.5
GB48034	0.52
GB55453	0.95
GB49270,GB49270	0.84
GB40652	0.91
GB43135	0.41
GB52910	0.46
GB41147	0.86
GB54511	0.87
GB48078	0.6
GB53926	0.4
GB47456	0.84
GB49488	0.9
GB53220	0.76
GB50207	0.46
GB45986	0.55
GB45486	0.56
GB42355	0.87
GB43885	0.52
GB52628	0.84
GB49227	0.49
GB42941	0.17
GB54861	0.85
GB47346	0.95
GB50348	0.81
GB49344	0.87
GB53379,GB50129	0.76
GB52706	0.82
GB50678	0.97
GB43305	0.89
GB42142	0.63
GB47665	0.86
GB55584	0.88
GB41343	0.44
GB49173,GB51647	0.845
GB47813	0.76
GB55388	0.36
GB50793	0.64
GB52340	0.94
GB42664	0.77
GB53093	0.71
GB51163	0.53
GB44283	0.71
GB52259	0.9
GB45145,GB45145	0.66
GB48223	0.9
GB45862	0.93
GB54526	0.86
GB54923	0.66
GB41472	0.94
GB40599	0.91
GB48536	0.73
GB40718	0.89
GB50159,GB43064	0.675
GB55916	0.76
GB50977	0.67
GB54835,GB54835	0.74
GB55090	0.4
GB46305	0.6
GB40941	0.93
GB51622	0.48
GB50460	0.88
GB48454	0.52
GB44041	0.71
GB50652	0.95
GB42898	0.88
GB53815	0.98
GB48813	0.44
GB44049	0.98
GB47055	0.78
GB46015,GB46062	0.725
GB55772	0.79
GB52056,GB52054	0.76
GB43420	0.39
GB48115	0.81
GB50638	0.78
GB50063	0.93
GB49372	0.93
GB46952,GB46952,GB46952	0.39
GB52153	0.45
GB49962	0.98
GB40555	0.92
GB45919	0.41
GB52028	0.77
GB49323	0.72
GB45666	0.41
GB44519	0.89
GB40874	0.91
GB44946	0.83
GB40720	0.95
GB44207	0.8
GB44904	0.99
GB51345	0.78
GB46124	0.93
GB44772	0.72
GB47064	0.83
GB53709	0.69
GB43575	0.46
GB52523	0.99
GB52261	0.6
GB40894	0.61
GB51805,GB51805	0.68
GB49362	0.74
